,title,name,url,lat,long,artist,description,artist_state,address,img_link,id,Sentence,ArtState
54,Big Bike," ""Ridgeway Greenway: Queen Elizabeth Park""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=232&Neighbourhood=&Ownership=&Program=,-123.105648,49.237446999999996,"['Bob Potegal', '', '', '', 'Barry Luger']",An over-size bicycle which forms a seat for cyclists,"""....part bench, part gateway and part bike fragment....Our sculpture is a connection marker at the bikeway intersection.  We've played with the scale and materials of standard bike elements to dramatize the intersection and to provoke a reaction from passers-by."" (Artists' statement)",37th & Ontario,https://app.vancouver.ca/publicart_net/Img/jpg/232.jpg,pid_49,an over size bicycle which forms a seat for cyclists,part bench part gateway and part bike fragment our sculpture is a connection marker at the bikeway intersection we ve played with the scale and materials of standard bike elements to dramatize the intersection and to provoke a reaction from passers by artists statement
55,Untitled (ceramic mosaic)," ""Brock Hall Annex""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=127&Neighbourhood=&Ownership=&Program=,-123.252618,49.269046,"['Patricia Thomas', '', '', '', 'Lionel Thomas']",The wandering association of rectangular enamel tiles represents the various departments of the university.,,,,pid_50,the wandering association of rectangular enamel tiles represents the various departments of the university,
56,Wind Swimmer," ""Kitsilano Pool""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=225&Neighbourhood=&Ownership=&Program=,-123.15734199999999,49.273272,['Doug Taylor'],This wind sculpture is a woman in a bathing suit who has articulated limbs that allow her to swim through the air. The speed of her movements is controlled by a propeller and the local wind currents at Kitsilano beach.,"Wind Swimmer was inspired by the artist's meeting with an older man who swam regularly off Stanley Park.  Taylor decided to build him a mate to swim along with him.  The prototype was made in 1993 for the Artropolis exhibition and installed in Stanley Park, but it was smashed by a log. The Parks Board pursued a second opportunity and a donor was found (Mary and Herb Auerbach).  The current Wind Swimmer was installed at Kits beach in 1996. The mechanism is specially engineered so that at winds of more than 55mph it turns sideways and slows down. (Guddrun Will, Vancouver Courier, May 19, 1996) Wind Swimmer was redesigned in 1999.", Cornwall Street at N. Foot of Yew,https://app.vancouver.ca/publicart_net/Img/jpg/225.jpg,pid_51,this wind sculpture is a woman in a bathing suit who has articulated limbs that allow her to swim through the air the speed of her movements is controlled by a propeller and the local wind currents at kitsilano beach,wind swimmer was inspired by the artist s meeting with an older man who swam regularly off stanley park taylor decided to build him a mate to swim along with him the prototype was made in for the artropolis exhibition and installed in stanley park but it was smashed by a log the parks board pursued a second opportunity and a donor was found mary and herb auerbach the current wind swimmer was installed at kits beach in the mechanism is specially engineered so that at winds of more than mph it turns sideways and slows down guddrun will vancouver courier may wind swimmer was redesigned in
57,Offsite: The Experience," ""Shangri-La - Offsite""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=683&Neighbourhood=&Ownership=&Program=,-123.123916938278,49.28578217,['Elizabeth Zvonar'],"Elizabeth Zvonar conjures romantic sentiment and melancholic undertones in ""The Experience"", a bleached-out collage boldly positioned in downtown Vancouver during the dreary months of winter. Combining materials and strategies used in advertising, the site-specific public artwork draws tangential connections between thoughtful inquiry and advertorial amusement. A pair of sunglasses from a 1970s fashion magazine is placed in the foreground of a celestial landscape from Mars, creating a scene that reads like a postcard from the future. In ""The Experience"", Zvonar continues her practice of appropriating imagery from various sources including advertising, contemporary fashion photography and counterculture media. She amplifies the digital design of her hand-cut collage by dramatically increasing its scale and incorporating lighting effects to produce an environment that shifts from a space of entertainment to one of examination.",,1100 West Georgia Street,https://app.vancouver.ca/publicart_net/Img/jpg/683.jpg,pid_52,elizabeth zvonar conjures romantic sentiment and melancholic undertones in the experience a bleached out collage boldly positioned in downtown vancouver during the dreary months of winter combining materials and strategies used in advertising the site specific public artwork draws tangential connections between thoughtful inquiry and advertorial amusement a pair of sunglasses from a s fashion magazine is placed in the foreground of a celestial landscape from mars creating a scene that reads like a postcard from the future in the experience zvonar continues her practice of appropriating imagery from various sources including advertising contemporary fashion photography and counterculture media she amplifies the digital design of her hand cut collage by dramatically increasing its scale and incorporating lighting effects to produce an environment that shifts from a space of entertainment to one of examination,
58,Anchor," ""Spanish Bank""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=79&Neighbourhood=&Ownership=&Program=,-123.233646,49.279179,['Christel Fuoss-Moore'],Near the west end of the pedestrian path along Spanish Banks is a stylized anchor with one point digging into the earth.  It metaphorically marks the spot where Spanish explorer Don Jose Maria Narvaez dropped anchor in 1791. He was reportedly the first European to come into this harbour.,"Fuoss-Moore says that, ""The anchor is a symbol of safety and solid footing. Vancouver with its port is intimately related to this symbol both past, present and future."" (City Shapes catalogue, May 1986) The anchor was produced as part of the City Shapes Sculpture Symposium in 1986 to celebrate Vancouver's centennial.", Spanish Bank,https://app.vancouver.ca/publicart_net/Img/jpg/079.jpg,pid_53,near the west end of the pedestrian path along spanish banks is a stylized anchor with one point digging into the earth it metaphorically marks the spot where spanish explorer don jose maria narvaez dropped anchor in he was reportedly the first european to come into this harbour,fuoss moore says that the anchor is a symbol of safety and solid footing vancouver with its port is intimately related to this symbol both past present and future city shapes catalogue may the anchor was produced as part of the city shapes sculpture symposium in to celebrate vancouver s centennial
59,Substation Pavilion," ""Meccanica""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=654&Neighbourhood=&Ownership=&Program=,-123.10181999999999,49.270022999999995,['Cedric Bomford'],Concrete Pavilion,"Substation Pavilion consists of a small structure constructed of board-formed Ductal concrete, steel and glass, with a door that hints at a possible entrance (although in this case it is merely a
decoy). There are windows on two sides, adding to the illusion of some kind of use value implicit to its presence on the site. The windows are utilitarian, institutional, industrial, with frosted security glass containing wire that obscure a direct line of site into the structure. Within the pavilion is a single, dim light. The pavilion sits immediately to the east of the entrance to the Meccanica development on the corner of First Avenue and Quebec Street in Vancouver, BC. The design borrows from the artdeco influenced electrical substations that are interwoven in Vancouver’s urban fabric. The piece looks as if it has been a long-term tenant of the site, as if it belongs to the area and is a relic of an earlier age. The illusion of its permanence is ruptured by a number of elements that disturb a simple and seamless inclusion in the local vernacular. The pavilion’s design references utility and yet as a consequence of the breaking up of vertical relations within the piece it becomes obvious
something else is going on. What possible use could be made of a structure that seems to have no level floor, let alone barely enough room to turn around in? Why would so much attention be paid to the design of such a small and inconsequential piece of infrastructure?
Substation Pavilion’s design hints at the networks of subterranean connections with the rest of the city and with the past of the site itself. The entire area of False Creek consisted of a marshy wetland prior to its infill. This program of ‘reclaiming’ the tidal areas of Vancouver allowed for the development of the rail yards and industrial infrastructure at the east end of False Creek. This established a horizontal approach to looking at and moving through the growing city, tied as it was to these rail lines. The vertical tendencies of this project aim to introduce the rupturing of the quotidian relationship with the horizontal that dominates movement through the city. The strata formed in the soil of the False Creek area carry the history of the settlement of the area. The networks of the rail yards spread the stories of the people passing through them,
creating layers within the cultural memory of the city. Over the years this cultural detritus molds and rots just as the soil and the structures of the area do. Together they form a humus that
contains the mold that supports life in the city, spreading underneath every structure we build and every story we tell. This is a fertile substrate, not one given to decay and destruction. It supports connections and unexpected developments, much as the rhizomorphic systems of a large fungus will remain hidden, spreading underground and only exhibiting its presence once a
year with its short-lived mushroom heads. It is a constantly shifting and ever-present narrative running just below the surface of the city.
Cedric Bomford
October, 2014",108 East 1st Avenue,https://app.vancouver.ca/publicart_net/Img/jpg/654.jpg,pid_54,concrete pavilion,substation pavilion consists of a small structure constructed of board formed ductal concrete steel and glass with a door that hints at a possible entrance although in this case it is merely a decoy there are windows on two sides adding to the illusion of some kind of use value implicit to its presence on the site the windows are utilitarian institutional industrial with frosted security glass containing wire that obscure a direct line of site into the structure within the pavilion is a single dim light the pavilion sits immediately to the east of the entrance to the meccanica development on the corner of first avenue and quebec street in vancouver bc the design borrows from the artdeco influenced electrical substations that are interwoven in vancouver s urban fabric the piece looks as if it has been a long term tenant of the site as if it belongs to the area and is a relic of an earlier age the illusion of its permanence is ruptured by a number of elements that disturb a simple and seamless inclusion in the local vernacular the pavilion s design references utility and yet as a consequence of the breaking up of vertical relations within the piece it becomes obvious something else is going on what possible use could be made of a structure that seems to have no level floor let alone barely enough room to turn around in why would so much attention be paid to the design of such a small and inconsequential piece of infrastructure substation pavilion s design hints at the networks of subterranean connections with the rest of the city and with the past of the site itself the entire area of false creek consisted of a marshy wetland prior to its infill this program of reclaiming the tidal areas of vancouver allowed for the development of the rail yards and industrial infrastructure at the east end of false creek this established a horizontal approach to looking at and moving through the growing city tied as it was to these rail lines the vertical tendencies of this project aim to introduce the rupturing of the quotidian relationship with the horizontal that dominates movement through the city the strata formed in the soil of the false creek area carry the history of the settlement of the area the networks of the rail yards spread the stories of the people passing through them creating layers within the cultural memory of the city over the years this cultural detritus molds and rots just as the soil and the structures of the area do together they form a humus that contains the mold that supports life in the city spreading underneath every structure we build and every story we tell this is a fertile substrate not one given to decay and destruction it supports connections and unexpected developments much as the rhizomorphic systems of a large fungus will remain hidden spreading underground and only exhibiting its presence once a year with its short lived mushroom heads it is a constantly shifting and ever present narrative running just below the surface of the city cedric bomford october
60,Lord Stanley," """"", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=84&Neighbourhood=&Ownership=&Program=,-123.135223,49.297258,['Sydney March'],This memorial statue of Lord Stanley was erected to honour the dedication of Stanley Park.,"Major Matthews, Vancouver archivist, discovered a letter in 1950 that promised that a monument would be erected. The letter was dated 1889. The statue was erected in 1960.", Stanley Park,https://app.vancouver.ca/publicart_net/Img/jpg/084.jpg,pid_55,this memorial statue of lord stanley was erected to honour the dedication of stanley park,major matthews vancouver archivist discovered a letter in that promised that a monument would be erected the letter was dated the statue was erected in
61,Backstop: A Stage for Wordsworth," ""Ridgeway Greenway: Cartier Park""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=231&Neighbourhood=&Ownership=&Program=,-123.09721200000001,49.237275,"['Karen Kazmer', '', '', '', 'Mark Grady', '', '', '', 'Todd Davis']","A stage backdrop including curtains and columns made of coloured fencing is superimposed over an ordinary sports backstop cage.  An aluminum sheet along the top of the backstop acts as a pediment and displays a quote from Wordsworth:  ""This city now doth like a garment wear the beauty of the morning; silent, bare, ships, towers, domes, theatres, and temples lie open upon the fields, and to the sky.""",,E 37th & Prince Edward,https://app.vancouver.ca/publicart_net/Img/jpg/231.jpg,pid_56,a stage backdrop including curtains and columns made of coloured fencing is superimposed over an ordinary sports backstop cage an aluminum sheet along the top of the backstop acts as a pediment and displays a quote from wordsworth this city now doth like a garment wear the beauty of the morning silent bare ships towers domes theatres and temples lie open upon the fields and to the sky,
62,Pacific Spiral," ""Concord Pacific""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=90&Neighbourhood=&Ownership=&Program=,-123.126135,49.272884999999995,['Judith Schwarz'],A large metal X sits on top of a circular pool. The X is scored and lined with slate channels that fill with water and spill onto the stones outside the pool. Water also flows down a spiral channel and falls inside the pool. The natural flow of the water works in relation to  the geometric forms of the piece.,, 1408 Pacific Boulevard,https://app.vancouver.ca/publicart_net/Img/jpg/090.jpg,pid_57,a large metal x sits on top of a circular pool the x is scored and lined with slate channels that fill with water and spill onto the stones outside the pool water also flows down a spiral channel and falls inside the pool the natural flow of the water works in relation to the geometric forms of the piece,
63,"New Currents, An Ancient Stream"," ""Palisades Apartments""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=212&Neighbourhood=&Ownership=&Program=,-123.12576999999999,49.287177,['Gwen Boyle'],"A series of upper pools, waterfall, and lower pool with overlapping black slate.  A large glacial boulder sits in the upper pool and an identical cast bronze replica sits in the lower pool.  Inscription cast in concrete beside the waterfall.","The intent of this project is to connect the present use of the site with its past, employing water as a metaphor. The concept is based upon the mythical river Lethe, the river as a repository of memories.
Once, only a stone's throw from this site, an ancient stream flowed down through a forest. It carried into the ""well"" of the sea the memories from earliest times. 
I am proposing a symbolic reclamation of the past and recognition of change. ... there will be three elements within this flowing river. From the ""source"" at the upper waters a 10 ton erratic glacial boulder will be positioned ... at the pool below will be its mirror image, in bronze altered by chemical reaction and time. Language is the third bridging element, for words to convey a sense of a river's journey I have used the following quote by Leonardo da Vinci: ""In rivers, the water you touch is the last of what has passed, and the first of that which comes; so with time present.""",1200 Alberni Street (at Bute),https://app.vancouver.ca/publicart_net/Img/jpg/212.jpg,pid_58,a series of upper pools waterfall and lower pool with overlapping black slate a large glacial boulder sits in the upper pool and an identical cast bronze replica sits in the lower pool inscription cast in concrete beside the waterfall,the intent of this project is to connect the present use of the site with its past employing water as a metaphor the concept is based upon the mythical river lethe the river as a repository of memories once only a stone s throw from this site an ancient stream flowed down through a forest it carried into the well of the sea the memories from earliest times i am proposing a symbolic reclamation of the past and recognition of change there will be three elements within this flowing river from the source at the upper waters a ton erratic glacial boulder will be positioned at the pool below will be its mirror image in bronze altered by chemical reaction and time language is the third bridging element for words to convey a sense of a river s journey i have used the following quote by leonardo da vinci in rivers the water you touch is the last of what has passed and the first of that which comes so with time present
64,Red Horizontal," ""False Creek Sea Wall North""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=467&Neighbourhood=&Ownership=&Program=,-123.125023,49.271763,['Gisele Amantea'],"""Red porcelain enamel panels are embedded in the upper portion of concrete benches that run along a portion of the seawall in the North False Creek neighbourhood. In cooperation with area residents, photographs were taken of the interior spaces of the apartments, condominiums, lofts or seniors' housing. These photographs were then arranged into a number of different sequences and appear as transparent halftone images layered on the red panels. A total of 257 photographs appear in the work, 29 of which are repeated. The photographs of the residences were taken in the spring and summer of 2004."" - the artist","""The work…was conceived to function both from a distance and in close proximity. When approaching the artwork from a distance - such as the water or walking along the seawall - the work appears as a thin red horizontal line in contrast to a predominantly vertical architectural environment. In close proximity the viewer can see in a high degree of detail the various residences that compose the photographic aspect of the work.  The choice of material, porcelain enamel, is intended to refer to the tradition of ceramic benches and tile work found in both exterior and interior public spaces. The rich red of the porcelain adds a strong element of colour to the predominantly glass, steel and concrete environment."" -the artist", David Lam Park Extension,https://app.vancouver.ca/publicart_net/Img/jpg/467.jpg,pid_59,red porcelain enamel panels are embedded in the upper portion of concrete benches that run along a portion of the seawall in the north false creek neighbourhood in cooperation with area residents photographs were taken of the interior spaces of the apartments condominiums lofts or seniors housing these photographs were then arranged into a number of different sequences and appear as transparent halftone images layered on the red panels a total of photographs appear in the work of which are repeated the photographs of the residences were taken in the spring and summer of the artist,the work was conceived to function both from a distance and in close proximity when approaching the artwork from a distance such as the water or walking along the seawall the work appears as a thin red horizontal line in contrast to a predominantly vertical architectural environment in close proximity the viewer can see in a high degree of detail the various residences that compose the photographic aspect of the work the choice of material porcelain enamel is intended to refer to the tradition of ceramic benches and tile work found in both exterior and interior public spaces the rich red of the porcelain adds a strong element of colour to the predominantly glass steel and concrete environment the artist
65,Totem Pole (Langara College)," ""Langara College""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=375&Neighbourhood=&Ownership=&Program=,-123.10762700000001,49.225138,['Don Yoemans'],Culture Style: Haida,"""Top figure: The Bear represents the cruel world or the bogey man; between its ears, a little man with an open mouth symbolizes the people who tell you to stay on the beaten path and forget your crazy dreams.

""Centre figure: Here we have another Bear, without ears, devouring a man with a flute in his hand.  This says, 'It doesn't matter how good you are, if no one hears, you are as good as dead.'  I do not believe this applies to specific talent such as art or music; the only real talent people have is to express what is really inside themselves. 

""Bottom figure: In early times a figure carved upside-down was a way of degrading a specific individual.  Here we have a man being degraded and eaten by a large man.  I call this figure 'man with ulcers', because both figures are the same person.  The large image secretly weeps as he eats himself up inside over dreams not pursued.""",100 West 49th Avenue,https://app.vancouver.ca/publicart_net/Img/jpg/375.jpg,pid_60,culture style haida,top figure the bear represents the cruel world or the bogey man between its ears a little man with an open mouth symbolizes the people who tell you to stay on the beaten path and forget your crazy dreams centre figure here we have another bear without ears devouring a man with a flute in his hand this says it doesn t matter how good you are if no one hears you are as good as dead i do not believe this applies to specific talent such as art or music the only real talent people have is to express what is really inside themselves bottom figure in early times a figure carved upside down was a way of degrading a specific individual here we have a man being degraded and eaten by a large man i call this figure man with ulcers because both figures are the same person the large image secretly weeps as he eats himself up inside over dreams not pursued
66,Rick Hansen - Man in Motion," ""General Motors Place""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=304&Neighbourhood=&Ownership=&Program=,-123.10833799999999,49.277341,"['Bill Koochin', '', '', '', 'Blake Williams']","A commemorative sculpture commissioned to celebrate the 10th anniversary of Rick Hansen's ""Man in Motion"" world tour, this sculpture is 6.5 feet high. The sculpture by Koochin sits in front of a screen printed tile collage created by Blake Williams. The collage uses excerpts from maps, diaries, and media coverage to chronicle Hansen's wheelchair journey across Canada.","""This  project was timed to commemorate the 10th anniversary of Rick Hansen’s “Man in Motion” world tour.  The work was intended to honour his achievements and to act as a symbol of  the stuggles and hardships that disabled and able bodied people can overcome through perseverence and faith in oneself.""", 800 Griffiths Way,https://app.vancouver.ca/publicart_net/Img/jpg/304.jpg,pid_61,a commemorative sculpture commissioned to celebrate the th anniversary of rick hansen s man in motion world tour this sculpture is feet high the sculpture by koochin sits in front of a screen printed tile collage created by blake williams the collage uses excerpts from maps diaries and media coverage to chronicle hansen s wheelchair journey across canada,this project was timed to commemorate the th anniversary of rick hansen s man in motion world tour the work was intended to honour his achievements and to act as a symbol of the stuggles and hardships that disabled and able bodied people can overcome through perseverence and faith in oneself
67,Entranceway," ""Jim Green Residence""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=402&Neighbourhood=&Ownership=&Program=,-123.09513100000001,49.28427,['Richard Tetrault'],"Extending vertically along several stories of the building, the mural includes a hand with leaves sprouting from it, a face with long flowing hair and a feather drifting in the sky.","""Entranceway"" was painted for this social housing development with input from the residents. The design reflects "" strength in community in an area of Vancouver that is confronted with fragmentation, displacement and change.""", 415 Alexander Street,https://app.vancouver.ca/publicart_net/Img/jpg/402.jpg,pid_62,extending vertically along several stories of the building the mural includes a hand with leaves sprouting from it a face with long flowing hair and a feather drifting in the sky,entranceway was painted for this social housing development with input from the residents the design reflects strength in community in an area of vancouver that is confronted with fragmentation displacement and change
68,Major James Skitt Matthews (1878 - 1970)," ""Vancouver City Archives  Vanier Park""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=151&Neighbourhood=&Ownership=&Program=,-123.144484,49.276588000000004,['Elek Imredy'],The bronze bust commemorates Major Matthews who was the first city archivist. It was donated to the city by Mrs. Teresa Galloway.,, 1150 Chestnut Street,https://app.vancouver.ca/publicart_net/Img/jpg/151.jpg,pid_63,the bronze bust commemorates major matthews who was the first city archivist it was donated to the city by mrs teresa galloway,
69,Land and Sea," ""Granville at 70th""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=658&Neighbourhood=&Ownership=&Program=,-123.141154,49.209415,"['Kelly Cannell', '', '', '', 'Thomas Cannell']","Contemporary Coast Salish designs come to life in two light boxes, over 4-storys each, installed on the copper facades facing inwards to the central plaza at 8555 Granville Street.   Designed by brother and sister team, artists Thom and Kelly Cannell, the panels tell a contemporary tale about their homeland, and depict creatures of the Land (green) and the Sea (blue).  Each light box is shaped as a fragment of a circle,  the shape of a spindle whorl which was utilized when spinning the yarn used in Coast Salish weaving.  (Examples of Musqueam weaving can be seen in the display case in front of the Safeway store along Granville street).  

Creations in weaving have been passed down for countless generations.  The artists’ grandmother, Edna Grant, was taught to weave by her mother, who was taught by her mother, and so on. Her designs could be recognized up and down the coast.  Not unlike a crest, weaving designs symbolize lineage.  This is true in carving, weaving, painting, and dancing.  

The artists are proud of this legacy and acknowledge it in this artwork.","""Land is usually depicted as steady and stable, Sea as unpredictable, and Sky as free spirited.""
Our account of Land and Sea is a contemporary tale about our homeland. Legends have been thought about time immemorial and passed on from generation to generation. They are contemporary tales because the story is always changing. An Eagle’s spirit, or the spirit of a bear is not always the same thing. Different characteristics and different places mean different things. Kelly and I have created a contemporary design that demonstrates the way nature flows together. In some cases you will see water flowing down a stream, or the wind blowing through the trees, or the trees themselves and their underground roots.
Land is: blades of grass, a deer is prancing through from the forest just for the fun of it. A beaver emerges through the reeds at shore, looking for another tree to chew down; he has found it, but is weary of predators all the time. This time, only small creatures of the forest are hidden.
Sea is: the west coast dream. Killer whales are chasing salmon around the Salish Sea. Kelp is flowing in the currents, maybe it is herring spawning season. Flounders down below are oblivious to another world above the surface. Cod are hiding amongst the rocks waiting for an easy meal.
Life is transient, hardly still, even though we don't see it, branches are deliberately growing, underwater habitats are being bathed with the tide and water vapors rise into the atmosphere to fall far away. Happenings are all around us, ready to be re-discovered again and again.
The broken circle of each design element refers to fragmented spindle whorl artifacts and the separations we see between these elements. Only when we see the whole picture together will the circle be complete. Our home is to inspire people to look closer in order to understand the subtleties and multitude of factors involved in our world.","8555 Granville Street, West Building (Land) Cornish Estates (Sea)",https://app.vancouver.ca/publicart_net/Img/jpg/658.jpg,pid_64,contemporary coast salish designs come to life in two light boxes over storys each installed on the copper facades facing inwards to the central plaza at granville street designed by brother and sister team artists thom and kelly cannell the panels tell a contemporary tale about their homeland and depict creatures of the land green and the sea blue each light box is shaped as a fragment of a circle the shape of a spindle whorl which was utilized when spinning the yarn used in coast salish weaving examples of musqueam weaving can be seen in the display case in front of the safeway store along granville street creations in weaving have been passed down for countless generations the artists grandmother edna grant was taught to weave by her mother who was taught by her mother and so on her designs could be recognized up and down the coast not unlike a crest weaving designs symbolize lineage this is true in carving weaving painting and dancing the artists are proud of this legacy and acknowledge it in this artwork,land is usually depicted as steady and stable sea as unpredictable and sky as free spirited our account of land and sea is a contemporary tale about our homeland legends have been thought about time immemorial and passed on from generation to generation they are contemporary tales because the story is always changing an eagle s spirit or the spirit of a bear is not always the same thing different characteristics and different places mean different things kelly and i have created a contemporary design that demonstrates the way nature flows together in some cases you will see water flowing down a stream or the wind blowing through the trees or the trees themselves and their underground roots land is blades of grass a deer is prancing through from the forest just for the fun of it a beaver emerges through the reeds at shore looking for another tree to chew down he has found it but is weary of predators all the time this time only small creatures of the forest are hidden sea is the west coast dream killer whales are chasing salmon around the salish sea kelp is flowing in the currents maybe it is herring spawning season flounders down below are oblivious to another world above the surface cod are hiding amongst the rocks waiting for an easy meal life is transient hardly still even though we don t see it branches are deliberately growing underwater habitats are being bathed with the tide and water vapors rise into the atmosphere to fall far away happenings are all around us ready to be re discovered again and again the broken circle of each design element refers to fragmented spindle whorl artifacts and the separations we see between these elements only when we see the whole picture together will the circle be complete our home is to inspire people to look closer in order to understand the subtleties and multitude of factors involved in our world
70,Untitled (mosaic)," ""Electra""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=405&Neighbourhood=&Ownership=&Program=,-123.125969,49.280885,['Bertram Charles Binning'],A decorative mosaic of blue tiles in diamond shapes covers a large portion of the building.,"Binning is quoted in Public & Office Building Art in Greater Vancouver in the Greater Vancouver Book as saying, ""A main theme was beaten out, a sort of basic tune or rhythm which we enriched with overtones of form, pattern and color.""", Burrard and Nelson,,pid_65,a decorative mosaic of blue tiles in diamond shapes covers a large portion of the building,binning is quoted in public office building art in greater vancouver in the greater vancouver book as saying a main theme was beaten out a sort of basic tune or rhythm which we enriched with overtones of form pattern and color
72,Untitled (natural forms)," ""Scarf (Education) Bldg.""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=133&Neighbourhood=&Ownership=&Program=,-123.253421,49.264387,['Paul Deggan'],Three discrete abstract forms are mounted on the north wall of the Scarfe Building. They are detail reliefs that refer to forms in nature.,,,,pid_66,three discrete abstract forms are mounted on the north wall of the scarfe building they are detail reliefs that refer to forms in nature,
73,Persian Wall," ""The Residences on Georgia""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=216&Neighbourhood=&Ownership=&Program=,-123.12558100000001,49.287548,['Dale Chihuly'],"Large blown glass florets (called Persians by the artist)  in colours of red, yellow, orange and blue are suspended in a rectangular glass case set in flowing water.","""I've never done a piece that is this public before.""-Westender, April 2, 1998.", 1200 West Georgia Street at Bute Street,https://app.vancouver.ca/publicart_net/Img/jpg/216.jpg,pid_67,large blown glass florets called persians by the artist in colours of red yellow orange and blue are suspended in a rectangular glass case set in flowing water,i ve never done a piece that is this public before westender april
75,Sacredness of Four," ""Trout Lake Ice Rink""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=518&Neighbourhood=&Ownership=&Program=,-123.065904,49.255146999999994,['Ray Natraoro'],"Water-jet cut granite mounted on stainless steel, this work features designs based on the sacredness of things in four: four directions (north, east, west, south); peoples of the world then coming together from these four directions; four seasons; four stages of life (infant, youth, adult and elder).",,"Trout Lake Community Centre, 3350 Victoria Drive",https://app.vancouver.ca/publicart_net/Img/jpg/518.jpg,pid_68,water jet cut granite mounted on stainless steel this work features designs based on the sacredness of things in four four directions north east west south peoples of the world then coming together from these four directions four seasons four stages of life infant youth adult and elder,
76,Spring," ""Robson Square""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=78&Neighbourhood=&Ownership=&Program=,-123.12198899999999,49.282095,['Alan Chung Hung'],A large red steel coil which appears to be a spring holding the upper level of Robson Square.,There was a juried competition funded by BC Building Corporation during the development of Robson Square.The piece was manufactured to the artist's specifications by Ebco Industries., Robson & Hornby Street,https://app.vancouver.ca/publicart_net/Img/jpg/078.jpg,pid_69,a large red steel coil which appears to be a spring holding the upper level of robson square,there was a juried competition funded by bc building corporation during the development of robson square the piece was manufactured to the artist s specifications by ebco industries
77,Five Pencils," ""Grandview Park (Grandview Woodland)""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=272&Neighbourhood=&Ownership=&Program=,-123.07012399999999,49.273507,['Josef Holy'],five large wooden pencils,, Commercial Dr. & William Street (Grandview Woodland),https://app.vancouver.ca/publicart_net/Img/jpg/272.jpg,pid_70,five large wooden pencils,
78,Curtained Skies," ""Bayview""", https://app.vancouver.ca/PublicArt_Net/ArtworkDetails.aspx?ArtworkID=390&Neighbourhood=&Ownership=&Program=,-123.12908300000001,49.290167,['Clay Ellis'],"The artwork consists of three large, wedge-shaped sculptures that act as abstract paintings of layered coloured polyurethene. From the street, the three paintings appear in yellow and black vertical stripes swelling out from the surface. From inside the lobby, the pallette shifts to blue and white.",,1529 West Pender Street,https://app.vancouver.ca/publicart_net/Img/jpg/390.jpg,pid_71,the artwork consists of three large wedge shaped sculptures that act as abstract paintings of layered coloured polyurethene from the street the three paintings appear in yellow and black vertical stripes swelling out from the surface from inside the lobby the pallette shifts to blue and white,
